vendor,actual_share
acore_mn_ore_mt,0.0
geomin_mt,9.62
gomti_mt,0.0
jrsventures_mt,0.0
lloyds_fines_mt,12.54
lloyds_mt,15.88
mn_ore_mt,0.0
neco_jayaswal_mt,0.0
nmdc_mt,0.0
nmdc_rom_mt,0.0
sinter_sp_02_mt,61.96
total_pellet_mt,0.0
